n,side,csv,png
1,1.6,out_alt\submission_n001.csv,out_alt\plot_n001.png
2,2.085966421287988,out_alt\submission_n002.csv,out_alt\plot_n002.png
3,2.8801700366077263,out_alt\submission_n003.csv,out_alt\plot_n003.png
4,2.8908833960618283,out_alt\submission_n004.csv,out_alt\plot_n004.png
5,3.079563577269733,out_alt\submission_n005.csv,out_alt\plot_n005.png
6,3.4679189134852515,out_alt\submission_n006.csv,out_alt\plot_n006.png
7,3.6165106641937674,out_alt\submission_n007.csv,out_alt\plot_n007.png
8,4.005860838180527,out_alt\submission_n008.csv,out_alt\plot_n008.png
9,3.9535462853045216,out_alt\submission_n009.csv,out_alt\plot_n009.png
10,4.408056580582702,out_alt\submission_n010.csv,out_alt\plot_n010.png
11,4.407916142309784,out_alt\submission_n011.csv,out_alt\plot_n011.png
12,4.44351771825248,out_alt\submission_n012.csv,out_alt\plot_n012.png
13,5.277689787834605,out_alt\submission_n013.csv,out_alt\plot_n013.png
14,5.135124993948347,out_alt\submission_n014.csv,out_alt\plot_n014.png
15,5.176110241492307,out_alt\submission_n015.csv,out_alt\plot_n015.png
16,5.2564458959660625,out_alt\submission_n016.csv,out_alt\plot_n016.png
17,5.444349692912761,out_alt\submission_n017.csv,out_alt\plot_n017.png
18,5.474018432792114,out_alt\submission_n018.csv,out_alt\plot_n018.png
19,5.455169132291002,out_alt\submission_n019.csv,out_alt\plot_n019.png
20,5.4888344543999885,out_alt\submission_n020.csv,out_alt\plot_n020.png
21,5.925822475426127,out_alt\submission_n021.csv,out_alt\plot_n021.png
22,6.30213927563517,out_alt\submission_n022.csv,out_alt\plot_n022.png
23,6.179762076105803,out_alt\submission_n023.csv,out_alt\plot_n023.png
24,6.236424780697851,out_alt\submission_n024.csv,out_alt\plot_n024.png
25,6.334791861399417,out_alt\submission_n025.csv,out_alt\plot_n025.png
26,6.5483821691292565,out_alt\submission_n026.csv,out_alt\plot_n026.png
27,6.564254085762822,out_alt\submission_n027.csv,out_alt\plot_n027.png
28,6.569508043173059,out_alt\submission_n028.csv,out_alt\plot_n028.png
29,6.508915043326539,out_alt\submission_n029.csv,out_alt\plot_n029.png
30,6.4924983199798465,out_alt\submission_n030.csv,out_alt\plot_n030.png
31,7.180871481023807,out_alt\submission_n031.csv,out_alt\plot_n031.png
32,7.267740664148015,out_alt\submission_n032.csv,out_alt\plot_n032.png
33,7.366163967830407,out_alt\submission_n033.csv,out_alt\plot_n033.png
34,7.305052570634997,out_alt\submission_n034.csv,out_alt\plot_n034.png
35,7.309624456902888,out_alt\submission_n035.csv,out_alt\plot_n035.png
36,7.258256774862134,out_alt\submission_n036.csv,out_alt\plot_n036.png
37,7.539465204959586,out_alt\submission_n037.csv,out_alt\plot_n037.png
38,7.524629432633255,out_alt\submission_n038.csv,out_alt\plot_n038.png
39,7.568618324971027,out_alt\submission_n039.csv,out_alt\plot_n039.png
40,7.586698286899987,out_alt\submission_n040.csv,out_alt\plot_n040.png
41,7.61418886162708,out_alt\submission_n041.csv,out_alt\plot_n041.png
42,7.657754134661717,out_alt\submission_n042.csv,out_alt\plot_n042.png
43,7.885754263983834,out_alt\submission_n043.csv,out_alt\plot_n043.png
44,8.291387059124386,out_alt\submission_n044.csv,out_alt\plot_n044.png
45,8.284264421898568,out_alt\submission_n045.csv,out_alt\plot_n045.png
46,8.318994292244327,out_alt\submission_n046.csv,out_alt\plot_n046.png
47,8.292621511739615,out_alt\submission_n047.csv,out_alt\plot_n047.png
48,8.31070668522814,out_alt\submission_n048.csv,out_alt\plot_n048.png
49,8.335075143860623,out_alt\submission_n049.csv,out_alt\plot_n049.png
50,8.718754725396003,out_alt\submission_n050.csv,out_alt\plot_n050.png
51,8.694785501561551,out_alt\submission_n051.csv,out_alt\plot_n051.png
52,8.742466191220483,out_alt\submission_n052.csv,out_alt\plot_n052.png
53,8.731428549747907,out_alt\submission_n053.csv,out_alt\plot_n053.png
54,8.762745592499488,out_alt\submission_n054.csv,out_alt\plot_n054.png
55,8.740437076492231,out_alt\submission_n055.csv,out_alt\plot_n055.png
56,8.753466960178653,out_alt\submission_n056.csv,out_alt\plot_n056.png
57,9.239860450501219,out_alt\submission_n057.csv,out_alt\plot_n057.png
58,9.285892207621044,out_alt\submission_n058.csv,out_alt\plot_n058.png
59,9.313328799897075,out_alt\submission_n059.csv,out_alt\plot_n059.png
60,9.33129444970927,out_alt\submission_n060.csv,out_alt\plot_n060.png
61,9.33057587974591,out_alt\submission_n061.csv,out_alt\plot_n061.png
62,9.34509975373096,out_alt\submission_n062.csv,out_alt\plot_n062.png
63,9.298728814628644,out_alt\submission_n063.csv,out_alt\plot_n063.png
64,9.303919883649975,out_alt\submission_n064.csv,out_alt\plot_n064.png
65,9.817499958006948,out_alt\submission_n065.csv,out_alt\plot_n065.png
66,9.843977950652466,out_alt\submission_n066.csv,out_alt\plot_n066.png
67,9.83688714941217,out_alt\submission_n067.csv,out_alt\plot_n067.png
68,9.847864228940633,out_alt\submission_n068.csv,out_alt\plot_n068.png
69,9.859136290410667,out_alt\submission_n069.csv,out_alt\plot_n069.png
70,9.875717127406325,out_alt\submission_n070.csv,out_alt\plot_n070.png
71,9.864528117177382,out_alt\submission_n071.csv,out_alt\plot_n071.png
72,9.879248188184565,out_alt\submission_n072.csv,out_alt\plot_n072.png
